,homeTeam,awayTeam,homeOdds,drawOdds,awayOdds,homePastWins,homePastDraws,homePastLosses,awayPastWins,awayPastDraws,awayPastLosses,homeGoalDiff,awayGoalDiff,result,check
36,3,12,1.97,4.05,3.45,15,4,8,15,7,5,13,16,0,MCI - ARS
37,4,14,2.13,3.75,3.25,11,5,11,8,4,15,1,-6,2,NEW - BHA
38,2,17,1.48,4.6,6.5,13,6,8,10,10,7,8,4,0,TOT - BUR
39,15,6,2.7,3.55,2.55,10,9,8,11,6,10,4,6,2,WOL - WHU
40,1,0,2.14,4.05,3.05,12,8,8,16,5,7,13,18,2,AST - LIV
41,19,6,3.45,3.6,2.08,6,7,15,12,6,10,-17,8,2,BOU - WHU
42,18,12,3.15,3.6,2.21,4,9,15,15,7,6,-17,13,2,BRE - ARS
43,7,17,1.44,4.75,7,12,7,9,10,10,8,4,0,1,CHE - BUR
44,5,4,2.8,3.55,2.45,9,5,14,11,5,12,-9,-1,0,EVE - NEW
45,3,15,1.48,4.7,6.25,16,4,8,10,9,9,16,2,0,MCI - WOL
46,9,14,2.04,3.95,3.3,14,4,10,9,4,15,17,-4,1,MUN - BHA
47,10,11,2.23,3.75,3,12,4,12,7,6,15,-9,-19,2,NOT - FUL
48,13,16,2.13,3.5,3.45,11,7,10,7,7,14,-1,-15,0,SHU - LUT
49,2,8,1.71,4.15,4.5,14,6,8,10,6,12,12,-11,1,TOT - CRY
50,12,17,1.4,5,7.5,16,7,6,10,11,8,14,0,0,ARS - BUR
51,14,1,2.08,3.75,3.35,9,5,15,12,8,9,-4,12,1,BHA - AST
52,18,15,2.12,3.45,3.5,4,9,16,10,9,10,-18,0,0,BRE - WOL
53,8,7,2.95,3.7,2.3,10,7,12,12,8,9,-11,4,2,CRY - CHE
54,5,9,2.85,3.75,2.35,10,5,14,14,5,10,-8,17,0,EVE - MUN
55,0,2,2.01,4.15,3.25,17,5,7,14,7,8,19,12,1,LIV - TOT
56,3,19,1.32,5.5,9.25,17,4,8,6,7,16,18,-18,0,MCI - BOU
57,4,16,1.41,4.9,7.5,11,5,13,7,7,15,-2,-18,2,NEW - LUT
58,13,10,2.3,3.65,3,12,7,10,12,4,13,2,-12,0,SHU - NOT
59,6,11,1.68,4.1,4.8,13,6,10,8,6,15,9,-16,1,WHU - FUL
60,12,8,1.59,4.4,5.25,17,7,6,10,7,13,18,-13,0,ARS - CRY
61,1,5,1.82,3.8,4.25,12,9,9,11,5,14,12,-6,0,AST - EVE
62,19,18,2.9,3.35,2.5,6,7,17,5,9,16,-20,-16,0,BOU - BRE
63,17,15,2.6,3.45,2.7,10,11,9,10,9,11,-4,-2,1,BUR - WOL
64,11,13,1.97,3.65,3.75,8,7,15,13,7,10,-16,7,1,FUL - SHU
65,0,7,2.12,4.05,3.05,17,6,7,13,8,9,19,6,0,LIV - CHE
66,16,9,4.3,4.15,1.74,8,7,15,14,5,11,-17,15,1,LUT - MUN
67,4,10,1.46,4.85,6.25,11,5,14,12,4,14,-3,-17,1,NEW - NOT
68,2,14,2.18,3.75,3.15,14,8,8,9,6,15,12,-4,1,TOT - BHA
69,6,3,2.75,3.8,2.4,13,7,10,18,4,8,9,20,1,WHU - MCI
70,1,16,1.45,4.65,7,13,9,9,8,8,15,15,-17,0,AST - LUT
71,17,19,2.13,3.5,3.45,10,12,9,7,7,17,-4,-18,0,BUR - BOU
72,7,14,2.08,3.75,3.35,13,8,10,9,7,15,4,-4,0,CHE - BHA
73,8,15,2.05,3.65,3.5,10,7,14,10,10,11,-17,-2,2,CRY - WOL
74,5,2,2.75,3.55,2.5,11,5,15,14,9,8,-9,12,1,EVE - TOT
75,11,3,4,4.1,1.81,8,8,15,18,5,8,-16,20,1,FUL - MCI
76,0,12,2.2,4.1,2.9,18,6,7,18,7,6,21,22,0,LIV - ARS
77,4,13,1.45,4.65,7,11,6,14,13,8,10,-3,7,0,NEW - SHU
78,10,9,3.7,4.2,1.86,12,5,14,14,6,11,-17,15,1,NOT - MUN
79,6,18,1.91,3.65,4,13,8,10,5,9,17,9,-18,2,WHU - BRE
80,1,10,1.51,4.65,6,14,9,9,12,6,14,18,-17,0,AST - NOT
81,14,12,2.3,3.75,2.95,9,7,16,18,7,7,-5,19,2,BHA - ARS
82,19,8,2.9,3.5,2.4,7,7,18,10,7,15,-19,-20,1,BOU - CRY
83,17,6,3.3,3.6,2.16,11,12,9,13,8,11,-3,8,0,BUR - WHU
84,7,5,1.73,3.95,4.65,14,8,10,11,6,15,5,-9,0,CHE - EVE
85,0,15,1.58,4.55,5.25,19,6,7,11,10,11,24,1,0,LIV - WOL
86,3,18,1.55,4.4,5.75,18,6,8,6,9,17,20,-17,0,MCI - BRE
87,4,11,1.53,4.5,5.75,12,6,14,8,9,15,-2,-16,0,NEW - FUL
88,13,9,4.05,4.05,1.81,13,8,11,14,7,11,6,15,2,SHU - MUN
89,2,16,1.43,4.85,7.25,14,10,8,8,8,16,12,-20,1,TOT - LUT
90,12,5,1.66,4.1,4.95,19,7,7,11,6,16,21,-11,0,ARS - EVE
91,14,15,1.65,4.05,5,9,7,17,11,10,12,-7,0,0,BHA - WOL
92,18,11,1.96,3.65,3.85,6,9,18,8,9,16,-20,-18,0,BRE - FUL
93,17,3,4.55,4.15,1.71,12,12,9,19,6,8,-1,23,1,BUR - MCI
94,7,16,1.39,5,7.75,15,8,10,8,9,16,7,-20,2,CHE - LUT
95,8,6,2.5,3.6,2.7,10,8,15,13,8,12,-20,6,1,CRY - WHU
96,0,19,1.38,5.25,7.5,20,6,7,7,8,18,25,-19,0,LIV - BOU
97,4,9,2.12,4,3.1,13,6,14,15,7,11,0,16,0,NEW - MUN
98,13,1,3.75,3.7,1.96,13,8,12,15,9,9,5,19,0,SHU - AST
99,2,10,1.48,4.8,6,14,11,8,12,6,15,12,-18,0,TOT - NOT
100,12,16,1.35,5.25,8.5,20,7,7,9,9,16,27,-18,1,BRE - EVE
101,14,5,1.78,3.8,4.45,10,7,17,11,6,17,-6,-17,0,BUR - BHA
